titles,authors,years,ncitedby,linkfiles
How to govern Facebook: a structural model for taxing and regulating big tech,"S Benzell, A Collis",2020,NA,https://www.researchgate.net/profile/Santosh-Dash-4/publication/303233694_Image_Classification_using_Data_Mining_Techniques/links/5739aa4e08ae9ace840da556/Image-Classification-using-Data-Mining-Techniques.pdf
Job scheduling for multi-user mapreduce clusters,"M Zaharia, D Borthakur, JS Sarma, K Elmeleegy…",2009,488,http://www.icsi.berkeley.edu/pubs/techreports/ICSI_jobschedulingfor09.pdf
""" Mine your own business"": using process mining to turn big data into real value",W van der Aalst,2013,24,https://core.ac.uk/download/pdf/301361130.pdf
A concept of an in-memory database for IoT sensor data,"M Burdack, M Rössle, R Kübler",2018,7,https://www.athensjournals.gr/sciences/2018-5-4-4-Burdack.pdf
Social Networking: A Semantic-based Friend Recommendation System,NA,NA,12,https://www.utupub.fi/bitstream/handle/10024/150821/Loponen_Marko_opinnayte.pdf?sequence=1
"Modern Data Mining for Software Engineer, A Machine Learning PaaS",M Loponen,NA,2,http://reports-archive.adm.cs.cmu.edu/anon/anon/usr0/ftp/hcii/CMU-HCII-14-101.pdf
SVM and Fuzzy SVM Based Opinion Mining In Tamil Using R,NA,NA,NA,"https://www.ijetcse.com/admin/uploads/ETHICS:%20ITS%20IMPORTANCE,%20ROLE%20AND%20CODE%20IN%20INFORMATION%20TECHNOLOGY_1605848935.pdf"
Assessing call and SMS logs as an indication of tie strength,"J Wiese, JK Min, JI Hong, J Zimmerman",2014,NA,https://www.ijrdt.org/upload/94489AN%20IMPACT%20ON%20ELECTRONIC-RECRUITMENT%20AND%20ITS%20PERCEPTION%20TOWARDS%20JOB%20PORTAL%20FUNCTION%20THROUGH%20SEARCH%20ENGINES%20AMONG%20JOB%20SEEKERS%20USING%20KNIME%20DATA%20MINING%20TOOL.pdf
"ETHICS: ITS IMPORTANCE, ROLE AND CODE IN INFORMATION TECHNOLOGY",GM Rachel,NA,NA,http://www.mlgworkshop.org/2016/paper/MLG2016_paper_24.pdf
Machine Learning and Feature Based Approaches to Gender Classification of Facebook Statuses,"J Keeshin, Z Galant, D Kravitz",2010,5,https://thekeesh.com/cs224n/final_writeup.pdf
Inferring private information using social network data,"M Kantarcioglu, R Heatherly",2009,2,https://pdfs.semanticscholar.org/d17d/fe9845a03a077fd256824b8c2f5220545f3d.pdf
Similarity search and applications,"G Amato, C Gennaro, V Oria…",2019,9,http://csv.rpi.edu/~szymansk/papers/pakdd.11.pdf
"Data Mining, Kuala Lumpur, Malaysia, 29 May-1 June, 2012, LNAI 7302, Part II, Springer, Berlin, Germany, 2012, pp. 25-36.","J Xie, BK Szymanski",NA,53,https://www.usenix.org/system/files/osdi18-annamalai.pdf?utm_campaign=The%20Data%20Science%20Roundup&utm_medium=email&utm_source=Revue%20newsletter
Sharding the Shards: Managing Datastore Locality at Scale with Akkio.,"M Annamalai, K Ravichandran, H Srinivas, I Zinkovsky…",2018,5,https://www.academia.edu/download/4849926/2008_481-496.pdf
"Postmodern Rear Window: Facebook, 6","SK Güven, Ç Kovanlıkaya",2008,4,https://www.researchgate.net/profile/Bojan-Obrenovic/publication/335465038_Virtual_Community_Engagement_on_Facebook_Brand_Page/links/5d678f16299bf11adf29de68/Virtual-Community-Engagement-on-Facebook-Brand-Page.pdf
Virtual Community Engagement on Facebook Brand Page,"Z Jing, H Sotheara, M Virak",2016,63,http://sorelle.friedler.net/papers/SSRN-id2746078.pdf
Hiring by algorithm: predicting and preventing disparate impact,"I Ajunwa, S Friedler, CE Scheidegger…",2016,3,https://www.academia.edu/download/41317475/37-40.pdf
A survey on data mining in big data,"R Kirubakaran, A Periya Nayaki…",2016,99,https://link.springer.com/content/pdf/10.1140/epjds/s13688-018-0138-8.pdf
Python in field of data science: a review,"M Butwall, P Ranka, S Shah",2019,5,http://www.ijiras.com/2017/Vol_4-Issue_2/paper_5.pdf
Impacts Of Smartphone: A Data Mining Case Study In Theni District,"P Suganya, RG Devi",NA,12,https://www.researchgate.net/profile/Csaba-Sidor/publication/306118715_Usage_of_linked_open_data_for_the_measurement_of_mining_tourism_POIs'_impact_on_the_competitiveness_of_a_destination_Research_notes_part_1/links/57e8f71e08ae113df520198b/Usage-of-linked-open-data-for-the-measurement-of-mining-tourism-POIs-impact-on-the-competitiveness-of-a-destination-Research-notes-part-1.pdf
Usage of linked open data for the measurement of mining tourism POIs' impact on the competitiveness of a destination: Research notes part 1.,"B Kršák, C Sidor, Ľ Štrba, M Mitterpák",2016,14,https://core.ac.uk/download/pdf/95559095.pdf
blogs in an internship course in information management,"CWL Cheong, X Hu, SKW Chu, N Ng",2017,32,https://www.researchgate.net/profile/Giacomo-Frisoni/publication/346520673_Unsupervised_Descriptive_Text_Mining_for_Knowledge_Graph_Learning/links/5fc5f8ac299bf1a422c77675/Unsupervised-Descriptive-Text-Mining-for-Knowledge-Graph-Learning.pdf
Unsupervised Descriptive Text Mining for Knowledge Graph Learning.,"G Frisoni, G Moro, A Carbonaro",2020,119,https://www.academia.edu/download/52438139/TS1.pdf
Data mining based social network analysis from online behavior,"J Srivastava, MA Ahmad, N Pathak…",2008,2,https://www.theswell.co/s/Google-democracy-and-the-truth-about-internet-search-_-Technology-_-The-Guardian.pdf
"Google, democracy and the truth about internet search",C Cadwalladr,2016,49,https://marymulvihillaward.ie/wp/wp-content/uploads/2018/05/Siobhan-Grayson-Abeba-Birhane-UCD-Science-Whose-Algorithms-Whose-Data.pdf
Science: Whose truth? whose facts,"A Birhane, S Grayson",2018,NA,http://dbjournal.ro/archive/14/14_4.pdf
High Dimensional Data analysis base on Machine Learning methods,DTP Anh,NA,NA,https://cdn.aaai.org/ocs/1163/1163-5997-1-PB.pdf
An Automated System to Filter Unwanted Message from OSN User wall,NA,NA,42,http://www.goniv.com/pdf/ajsatvol3no12015-17.pdf
RE: Docket No. CFPB-2014-0012,NA,NA,5,http://www.ijresm.com/Vol_1_2018/Vol1_Iss9_September18/IJRESM_19_54.pdf
ROLE OF THE BIG DATA IN DIGITAL MARKETING–CONTEXT OF THE SECURITY FRAMEWORK,"M JOVANOVIĆ, U PINTERIČ…",NA,4,http://bisec.metropolitan.ac.rs/files/2018.pdf#page=48
Feature Generation using Ontologies during Induction of Decision Trees on Linked Data.,Y Terziev,2016,9,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ab/2016/www-kasm.nii.ac.jp/iswc2016/papers/DC_Terziev.pdf
Anticipatory government: Integrating big data for smaller government,ME Milakovich,2012,NA,http://blogs.oii.ox.ac.uk/ipp-conference/sites/ipp/files/documents/Anticipatory%20Government%20Oxford.pdf
Research Designs,K Pfaff,NA,NA,https://www.koreascience.or.kr/article/JAKO201409739053489.pdf
Ascertaining Chronological Change Patterns in the Presence of Multiple Taxonomies,"PG Venkatrao, PD Lambhate",NA,NA,https://dl.gi.de/bitstream/handle/20.500.12116/24976/paper3_06.pdf?sequence=1
Utilization of Facebook website in avoiding academic performance and health hazards: a study of Khairpur Medical College Students,"S Karim, H Madiha, GA Mallah, SK Abbasi…",2016,1,https://www.researchgate.net/profile/Raja-Sohail-Ahmed-Larik/publication/311623186_Utilization_of_Facebook_website_in_Avoiding_Academic_performance_and_Health_Hazards_A_Study_of_Khairpur_Medical_College_Students'/links/5851613208ae95fd8e15609f/Utilization-of-Facebook-website-in-Avoiding-Academic-performance-and-Health-Hazards-A-Study-of-Khairpur-Medical-College-Students.pdf
Social Media Link Prediction,A Solanki,NA,519,http://ijiird.com/wp-content/uploads/040234.pdf
Privacy Preservation in Crowdsourced Health Research,H Arai,2015,5,https://cdn.aaai.org/ocs/10262/10262-45190-1-PB.pdf
Big Data Ekonomi Digital Era Industri 4.0,A Susanto,NA,3,https://www.researchgate.net/profile/Ajib-Susanto/publication/339300394_Big_Data_Ekonomi_Digital_Era_Industri_40/links/5e49e66e458515072da45717/Big-Data-Ekonomi-Digital-Era-Industri-40.pdf
Big data in big companies,"TH Davenport, J Dyché",2013,24,https://www.academia.edu/download/32021923/Big-Data-in-Big-Companies.pdf
The role of machine learning to fight COVID-19,"S Ouf, N Hamza",2021,1,http://www.inass.org/2021/2021043011.pdf
The Use of'big Data'for Social Sciences Research: An Application to Corruption Research,M Fazekas,2014,NA,https://www.researchgate.net/profile/Mihaly-Fazekas/publication/267761976_The_use_of_'Big_Data'_for_social_sciences_research-an_application_to_corruption_research/links/5475a6970cf245eb4370ed9c/The-use-of-Big-Data-for-social-sciences-research-an-application-to-corruption-research.pdf
Business intelligence in college: a teaching case with real life puzzles,"W Presthus, B Bygstad",2012,NA,http://jite.informingscience.org/documents/Vol11/JITEv11IIPp121-137Presthus1075.pdf
Analysis of Mining on Big Data,"B Srinivas, B Togiti",2015,NA,https://www.academia.edu/download/31019925/cis_830_final_project_-_link_prediction_in_social_networks_-_part_1.pdf
Research Article Data Mining Techniques to Analyze the Impact of Social Media on Academic Performance of High School Students,"S Amjad, M Younas, M Anwar, Q Shaheen, M Shiraz…",2022,1,https://www.academia.edu/download/84362620/9299115.pdf
Text and Data Mining Exception-Technology into Our Lives,M Lupaşcu,2019,1,http://cks.univnt.ro/download/cks_2019_articles%252F4_intellectual_property_law%252FCKS_2019_intellectual_property_law_006.pdf
A Study on the Preemptive Measure for Fake News Eradication Using Data Mining Algorithms: Focused on the M Online Community Postings,"M Lim, S Park",2019,94,https://www.koreascience.or.kr/article/JAKO201915561990199.pdf
Speichern,S Rothöhler,2018,1,https://brill.com/downloadpdf/book/9783846763513/BP000005.pdf
Evolvable Network Telemetry at Facebook,"Y Zhou, Y Zhang, M Yu, G Wang, D Cao…",2022,3,https://www.usenix.org/system/files/nsdi22spring_prepub_zhou.pdf
Privacy preserving in social networks against sensitive edge disclosure,"L Liu, J Wang, J Liu, J Zhang",2008,NA,https://www.researchgate.net/profile/Jinze-Liu/publication/228972647_Privacy_preserving_in_social_networks_against_sensitive_edge_disclosure/links/53ee25630cf26b9b7dc64bd4/Privacy-preserving-in-social-networks-against-sensitive-edge-disclosure.pdf
Facebook's Libra: The Next Tax Challenge for the Digital Economy,"A Christians, M Tazeem",2020,NA,https://assets.pubpub.org/e6vrhc42/31593300784870.pdf
Predictive technology management for the identification of future development trends and the maximum achievable potential based on a quantitative analysis,"M Fries, M Linekamp",2017,NA,https://www.researchgate.net/profile/Michael-Fries-2/publication/318564873_Predictive_Technology_Management_for_the_Identification_of_Future_Development_Trends_and_the_Maximum_Achievable_Potential_Based_on_a_Quantitative_Analysis/links/5b9ca821299bf13e60318098/Predictive-Technology-Management-for-the-Identification-of-Future-Development-Trends-and-the-Maximum-Achievable-Potential-Based-on-a-Quantitative-Analysis.pdf
BEHAVIORAL TARGETING: CONSUMERS'PERCEPTION ISSUE,"M Bereziuk, OL Kanishchenko",2011,NA,https://git.org.in/wp-content/uploads/2017/06/GIT%20JET%202016.pdf#page=14
Churn analysis of online social network users using data mining techniques,"X Long, W Yin, L An, H Ni, L Huang, Q Luo…",2012,23,https://research.tue.nl/files/101599520/churn.pdf
Personalizing Customer Experience through Location based Services using BLE Devices,"N ManekA, M Devikar, S ManekA, R MuleA, D RaulA…",NA,50,https://www.academia.edu/download/40697775/IJCS_2015_0211009.pdf
On blockchains and the general data protection regulation,"LD Ibáñez, K O'Hara, E Simperl",2018,2,https://eprints.soton.ac.uk/422879/1/BLockchains_GDPR_4.pdf
A Brief STUDIES on Machine Learning Techniques,"D Trivedi, SB Harsh, R Kumar",NA,3,https://ijiset.com/vol2/v2s1/IJISET_V2_I1_05.pdf
Using semantic web technologies for classification analysis in social networks,M Opuszko,2011,1,https://www.researchgate.net/profile/Johannes_Kristan/publication/231181953_Generating_Graphical_User_Interfaces_for_Software_Product_Lines_A_Constraint-based_Approach/links/53e47c000cf2fb748710bcef.pdf#page=19
"A data mining hypertextbook: Design, implementation and experience","RM Verma, P Chen",2012,12,https://www.researchgate.net/profile/Thomas-Way/publication/262252600_Coexistence_of_functional_and_object-oriented_paradigms/links/566ccc6b08aea0892c4ff012/Coexistence-of-functional-and-object-oriented-paradigms.pdf#page=33
Een beslissingsmodel voor automatische melding van,NA,NA,NA,https://jespublication.com/upload/2021-V12I1262.pdf
Detection of Social Network Mental Disorders Through Mining of Online Social Media,"BE Manjunath, SK Rao, K Rambabu",NA,NA,https://www.ijres.org/papers/Volume-9/Issue-3/K09035562.pdf
Privacy Preserving and Data Integrity in Social Networking,NM Jathe,NA,NA,https://pdfs.semanticscholar.org/d070/79620e4f9ec929daadedaa7ea899e3b83263.pdf
A comprehensive study of text mining approach,"A Kaushik, S Naithani",2016,69,http://cloud.politala.ac.id/politala/1.%20Jurusan/Teknik%20Informatika/19.%20e-journal/Jurnal%20Internasional%20TI/IJCSNS/2016%20Vol.%2016%20No.%2002/20160212_A%20Comprehensive%20Study%20of%20Text%20Mining%20Approach.pdf
Classification of encrypted Applications of Traffic Mobile Devices using the Data Mining,"OI Sheluhin, VV Barkov…",2019,1,https://management-science.ru/site/public/elfinder/TEDS/24_Sheluhin.pdf
Optimizing Data Analysis with a Semi-structured Time Series Database.,"L Bitincka, A Ganapathi, S Sorkin, S Zhang",2010,447,https://www.usenix.org/legacy/events/slaml10/tech/full_papers/Bitincka.pdf
Networked affect,"S Paasonen, K Hillis, M Petit",2018,21,https://www.utupub.fi/bitstream/handle/10024/172504/Paasonen_Susanna_Networked_Affect._In_Ro.pdf?sequence=1
Communities in networks,"MA Porter, JP Onnela, PJ Mucha",2009,1438,https://community.ams.org/journals/notices/200909/rtx090901082p.pdf?adat=October%202009&trk=0&cat=feature&galt=feature
Photos on,"S HANSEN, A MARCON, A NARDO, E SKAALE…",NA,31,https://www.academia.edu/download/34726876/G.17_Photos_on_Facebook.pdf
Research issues in web mining,"S Vijiyarani, E Suganya",2015,10,https://www.academia.edu/download/64969598/2315ijcax05.pdf
Quine-mccluskey: a novel concept for mining the frequency patterns from web data,"B Bhandari, RH Goudar, K Kumar",2018,6,http://mecs-press.net/ijeme/ijeme-v8-n1/IJEME-V8-N1-5.pdf
Analyzing the discourse of chais conferences for the study of innovation and learning technologies via a data-driven approach,"V Silber-Varod, Y Eshet-Alkalai, N Geri",2016,NA,http://www.ijello.org/Volume12/IJELLv12p297-313Silber2722.pdf
Data Privacy & Online Surveillance,KA Mwila,NA,NA,https://www.researchgate.net/profile/Ali-Mwila/publication/335336160_Data_Privacy_Online_Surveillance/links/5d5f0fec45851521025a116f/Data-Privacy-Online-Surveillance.pdf
Information Engineering: Strategic decision based on data science,"CAM da Rocha, LB Gouveia",2021,31,https://www.academia.edu/download/68016169/IJAERS_23_june_2021.pdf
The role of information technology in combating security challenges in Nige-ria,"PM Ogedebe, BP Jacob",2012,4,https://www.academia.edu/download/55669921/20122.1-15.pdf
Social and Environmental Impacts of Development on Rural Traditional Arctic Communities: Focus on Northern Sweden and the Sami,"SH Bickford, JE Krans…",2016,5,http://ibimapublishing.com/articles/JEURB/2016/854073/854073.pdf
Techniques in Data Mining,S Tanna,NA,15,http://www.iit-rd.com/FinalPaper/FinalPaperA%20Survey%20On%20Effective%20Recommendation%20%20Techniques%20in%20Data%20Mining%20%20150010.pdf
R language in data mining techniques and statistics,S Pravilovic,2013,2,https://www.researchgate.net/profile/Sonja-Pravilovic/publication/274990280_R_Language_in_Data_Mining_Techniques_and_Statistics/links/5ac2077fa6fdcccda65e5501/R-Language-in-Data-Mining-Techniques-and-Statistics.pdf
Teaching Portfolios Using Data Mining Basedon WEKA Platform,NA,NA,25,https://link.springer.com/content/pdf/10.1038/s41598-017-13640-5.pdf
Enriching Text Clustering through Cognitive Concept Based Model (CCBM) by Ensemble Neural Learning Method,"K Sangeetha, MV Sayini",2017,NA,https://www.researchgate.net/profile/Emmanouil-Krasanakis/publication/332574670_VenueRank_Identifying_Venues_that_Contribute_to_Artist_Popularity/links/5cbefceea6fdcc1d49a89f3e/VenueRank-Identifying-Venues-that-Contribute-to-Artist-Popularity.pdf
The optimal window size for analysing longitudinal networks,"S Uddin, N Choudhury, SM Farhad, M Rahman",2017,NA,https://naeducation.org/wp-content/uploads/2017/05/Ho-FINAL.pdf
(Under) mining privacy in social networks,"M Chew, D Balfanz, B Laurie",2008,34,https://research.google/pubs/pub35071.pdf
How The Use Of Social Media Networks Can Influence The Growth Of Lesotho's Political Economy Beyond The 50 Years Celebration Of Independence.,J Maphephe,NA,265,http://www.comp.hkbu.edu.hk/~lichen/download/IJCAI2013_Pan.pdf
Gbpr: Group preference based bayesian personalized ranking for one-class collaborative filtering,"W Pan, L Chen",2013,59,https://timreview.ca/sites/default/files/article_PDF/Adams_TIMReview_April2017.pdf
Big data and individual privacy in the age of the internet of things,M Adams,2017,4,http://ai-design-competence.eu/wp-content/uploads/2019/09/DataScience_AIDesignCompetence_HigherEd_de.pdf
"DER BEITRAG VON DATA SCIENCE ZUM MANAGEMENT VON ZUKUNFT, INNOVATIONEN UND PROJEKTEN AN HOCHSCHULEN","EE DER DYNAMIKEN, VON NOTWENDIGKEITEN",NA,4,https://www.researchgate.net/profile/Aniket-Patel-11/publication/330164859_A_Survey_on_Heuristic_Based_Approach_for_Privacy_Preserving_in_Data_Mining/links/5ecfd0ca45851529451b2724/A-Survey-on-Heuristic-Based-Approach-for-Privacy-Preserving-in-Data-Mining.pdf
A survey on heuristic based approach for privacy preserving in data mining,"A Patel, P Shreya, K Amin",2017,NA,https://pdfs.semanticscholar.org/2e39/75b0820dcdf9e571698abeb88125e42acadb.pdf
